no;wealth;quintile;agechild;bord;agemother;ed;rural;region;reg;PSU;weight;male;zscore;zscore1
1;-0.87222;b;53;3;23;a;0;2;b;176;0.597329;1;-2.14;3.86
2;0.87258;e;43;1;17;b;1;5;e;678;0.504528;1;0.75;6.75
3;-1.42536;a;40;9;42;a;1;3;c;323;0.68715;0;-4.15;1.85
4;-1.23934;a;9;3;27;a;1;2;b;284;0.723496;0;0.09;6.09
5;-1.3089;a;39;7;31;a;1;3;c;464;0.850911;0;-1.82;4.18
6;-0.94634;b;14;2;18;a;1;3;c;465;0.643608;1;-2.42;3.58
7;-1.57646;a;26;6;28;a;1;1;a;134;0.998535;1;-0.63;5.37
8;0.35631;d;48;7;31;a;1;2;b;265;0.390087;1;-0.31;5.69
9;-1.20081;a;24;5;26;a;1;3;c;450;0.884218;0;-0.39;5.61
10;-0.97193;b;24;7;33;a;1;3;c;478;1.745102;0;-1.93;4.07
11;-0.9083;b;15;3;25;a;1;3;c;409;1.074038;0;-3.35;2.65
12;-0.72634;b;9;1;21;b;1;3;c;405;1.128182;1;-5.84;0.16
13;-0.62472;b;12;2;22;a;1;3;c;422;0.516861;1;-3.15;2.85
14;-1.02512;b;14;4;33;a;1;3;c;438;1.066713;0;-3.39;2.61
15;0.42388;d;27;3;25;b;1;6;f;749;0.350088;0;-0.88;5.12
16;0.96269;e;33;4;31;b;0;5;e;701;0.715807;1;-1.9;4.1
17;1.77109;e;3;4;28;a;0;1;a;125;0.895549;0;2.6;8.6
18;-0.20017;c;32;2;29;c;0;4;d;555;0.892902;0;-0.41;5.59
19;0.62737;d;50;5;28;b;0;6;f;785;1.992604;0;-2.74;3.26
20;-0.87441;b;43;1;18;a;1;2;b;257;0.416274;1;0.17;6.17
21;-0.25368;c;8;6;30;a;1;2;b;211;0.867928;0;1.25;7.25
22;-0.54271;c;41;1;21;b;0;1;a;16;1.350789;0;1.8;7.8
23;-1.14861;a;0;1;19;a;1;1;a;137;1.559909;0;-0.59;5.41
24;-0.22381;c;37;1;22;c;1;1;a;107;0.321742;1;-3.19;2.81
25;1.56102;e;14;4;27;c;0;2;b;222;1.173895;1;-2.2;3.8
26;-0.29844;c;16;2;28;c;1;5;e;658;0.845367;1;-1.33;4.67
27;-0.82305;b;5;8;35;a;1;3;c;462;0.711753;1;-0.73;5.27
28;1.25446;e;28;2;31;b;0;6;f;801;1.898613;1;-3.67;2.33
29;-0.22049;c;14;4;22;b;0;3;c;440;1.546261;1;-4.1;1.9
30;0.37343;d;12;1;22;c;1;5;e;622;0.371545;0;1.52;7.52
31;-0.89591;b;45;1;21;a;1;3;c;319;0.916847;0;-2.47;3.53
32;-1.19747;a;59;4;22;a;1;3;c;316;1.052639;0;-5.49;0.51
33;-0.96288;b;31;3;20;a;1;2;b;177;0.760832;0;-3.03;2.97
34;-1.00742;b;5;1;19;a;1;3;c;376;0.762935;0;1.91;7.91
35;-0.92865;b;14;5;25;a;1;2;b;244;0.398763;0;-0.14;5.86
36;0.27674;d;24;4;23;b;0;2;b;290;0.315152;0;-1.24;4.76
37;1.0409;e;23;5;35;b;0;6;f;774;1.185235;1;-0.47;5.53
38;-1.33095;a;7;5;24;a;1;2;b;195;0.508234;1;-1.34;4.66
39;-1.15538;a;24;5;25;a;1;3;c;450;0.884218;1;-3.41;2.59
40;-1.10547;a;37;4;23;a;1;2;b;198;0.702097;0;1.65;7.65
41;-0.9728;b;46;2;22;a;1;2;b;258;0.358026;1;-3.39;2.61
42;0.38405;d;2;5;28;b;1;5;e;649;0.423744;1;-0.62;5.38
43;-0.08428;c;45;3;37;a;1;2;b;179;0.695478;1;-0.81;5.19
44;-1.16689;a;15;4;25;a;1;3;c;446;0.393026;1;-2.52;3.48
45;-0.43293;c;13;3;24;b;0;3;c;352;1.372976;1;0.19;6.19
46;-1.18613;a;16;2;21;a;1;2;b;250;0.461434;1;-2.09;3.91
47;-0.30468;c;24;1;23;b;1;1;a;58;0.621093;0;-3.63;2.37
48;-0.03215;c;10;5;22;a;1;1;a;119;2.269121;0;-1.62;4.38
49;-0.41252;c;17;1;18;a;1;2;b;275;0.901706;1;-3.65;2.35
50;-0.41108;c;34;1;18;c;1;5;e;668;0.605606;0;-3.07;2.93
51;-0.42303;c;30;3;27;a;1;2;b;211;0.867928;0;-3.67;2.33
52;-1.71855;a;5;5;24;a;1;2;b;202;1.019512;0;0.32;6.32
53;0.91246;e;24;1;23;b;1;6;f;759;0.335496;0;-1.99;4.01
54;-0.40889;c;29;10;39;a;0;6;f;897;0.7744;1;-2.28;3.72
55;-0.95095;b;31;4;26;a;1;5;e;716;0.857848;1;-1.31;4.69
56;1.23415;e;15;1;20;c;0;6;f;800;2.933717;1;-0.23;5.77
57;-1.27107;a;41;3;31;a;1;3;c;387;2.910712;1;-1.53;4.47
58;-1.5877;a;34;4;27;a;1;2;b;209;1.39747;1;-2.77;3.23
59;-1.31837;a;30;2;19;a;1;1;a;137;1.559909;1;-0.92;5.08
60;-1.2157;a;57;7;32;a;1;2;b;256;0.310356;0;-1.15;4.85
61;0.14097;d;55;1;21;c;1;5;e;684;0.912124;0;2.48;8.48
62;0.54849;d;29;3;30;b;0;1;a;73;0.683148;0;-0.91;5.09
63;0.06319;c;24;4;31;b;1;5;e;671;1.756982;1;-1.11;4.89
64;-0.78549;b;47;5;25;a;0;1;a;120;1.820731;0;-1.85;4.15
